run,event,pt_visA,phi_visA,eta_visA,pt_visB,phi_visB,eta_visB,pt_MET,phi_MET,mT2,mll
279716,251417631,48.4067,2.21436,-1.68359,38.3733,-0.851074,-1.15186,28.9174,1.93994,0.202964,89.2021
279716,552459732,50.0006,-0.20105,2.24414,43.0299,2.9834,2.19922,36.4844,2.8042,3.37888,92.7711
279760,504891810,34.7435,2.9873,-1.57153,29.4361,0.384521,0.294006,53.5852,0.149475,8.41629,92.3044
279760,997053427,57.4321,-1.77808,-0.421997,26.5059,-1.72778,1.48071,54.1463,0.32135,53.7984,85.9757
279766,68903425,40.7704,2.81445,-0.22287,27.1838,0.18689,1.48584,45.0767,-3.12256,11.6058,90.8331
279766,75367951,30.7919,2.19141,-0.795654,27.9813,-1.89941,1.64014,26.5915,-2.2915,0.154413,104.511
279766,83896882,44.4554,-1.22803,0.829346,44.2643,2.1001,1.12793,41.6681,-1.55127,0.196287,89.3286
279766,192910182,46.8264,-2.28125,1.052,39.4245,0.99292,0.413818,29.6928,0.361389,9.4998,90.1652
279766,229887419,87.521,2.33105,-2.21631,33.6695,-2.03174,-1.44214,25.4046,-0.490723,33.7214,98.835
279766,378017733,113.595,0.869995,1.06055,20.8746,-0.234772,-0.386841,70.4859,1.20874,22.1941,92.2454
279766,392461909,33.6816,1.60815,-0.732422,20.0445,-1.95605,-2.40576,54.25,2.7959,0.281195,70.4026
279766,392190929,37.7583,-1.53687,-1.22314,31.9959,1.18604,1.51025,50.889,1.80005,17.2971,144.475
279766,968208709,45.0444,3.01904,0.077652,38.0835,-0.187408,0.786621,41.7045,-2.29883,0.405055,88.0542
279766,1669729626,38.0944,2.66797,1.11743,25.5783,-2.6543,1.06299,26.063,0.883545,33.9437,28.9045
279766,415977282,30.0582,2.82959,-0.212585,27.9646,-0.409058,1.69189,21.0484,-0.117371,3.79036,86.276
279766,463126992,47.033,-0.747559,0.917358,44.3414,2.22949,0.641846,22.2566,0.789185,0.212672,91.8967
279766,627895266,27.2084,1.5481,-2.29297,20.2503,-1.13794,0.276733,29.5699,0.592407,0.203264,90.7116
279766,728408670,92.3978,3.08057,0.558472,33.3597,0.0327606,0.884033,58.4015,-0.0738068,4.04678,112.392
279766,736605366,83.0899,-1.10742,1.52295,34.3854,-1.03809,1.26929,103.098,2.30762,99.4929,14.0909
279766,927285207,63.332,-3.01953,-2.16064,33.7731,0.429443,-1.62695,56.1664,0.974854,0.239052,94.7575
279766,938010925,47.3994,-0.447144,-1.82446,44.0482,2.91016,-2.02148,26.1756,2.82178,2.71586,91.3015
279766,1940168475,79.2398,0.752808,0.417114,23.8501,2.88037,1.6189,56.2261,-2.43066,30.6769,94.0818
279766,1942347718,61.3495,2.67383,0.464905,28.9945,-0.569824,1.16821,23.7968,2.43066,4.4831,89.5177
279766,1956612230,74.5626,-0.626587,-0.788452,46.1746,-0.155884,-1.16699,45.3643,0.091095,10.5911,35.3284
279767,388068741,52.6366,-2.04395,-1.36694,34.0945,2.48584,2.08496,27.7561,1.83643,17.7533,239.474
279767,1052555691,48.1953,0.553711,-1.46265,40.4405,-2.66943,-1.08081,30.099,0.3526,4.21195,89.8379
279767,1065751894,49.1356,2.92773,-0.524658,37.1321,-1.19922,0.584839,27.4575,-1.09863,3.14108,90.2846
279767,554806874,53.1269,1.58008,-0.142517,35.17,-1.92847,0.431702,21.8512,0.410522,16.9928,88.6471
279767,986387487,56.2564,-1.09131,0.169464,41.2188,2.71973,-0.0519104,23.8178,1.14087,26.559,91.5884
279767,1224928905,64.1018,1.61255,0.738647,29.7204,-1.55225,1.1814,56.1963,-1.62769,0.30698,89.4376
279794,94555316,69.0288,2.22363,0.327087,43.3912,0.122269,0.846191,31.6738,1.08667,0.140443,99.2332
279794,94037554,49.3559,-0.72644,2.38965,43.0188,2.32812,2.0542,33.9197,2.95703,8.66134,93.3704
279794,733662917,73.5145,1.87891,-1.19751,25.7186,-1.5647,-1.76807,36.5347,-2.24463,0.235012,89.5766
279794,858448990,120.914,0.83252,0.564331,41.2451,0.842163,0.575562,219.278,0.670288,13.8799,1.04536
279794,873865129,37.69,-2.90039,0.822144,34.5734,0.200745,2.16895,55.2023,1.29736,8.4436,89.1816
279794,873893255,86.7682,-2.2915,1.26221,37.063,-1.14209,0.189117,38.6119,2.09033,56.0263,88.7326
279794,1290733958,48.3972,-0.0215836,0.657715,45.9116,-2.45557,1.07495,25.4586,-0.163177,0.13393,90.6284
279794,1241298137,35.603,-1.26001,1.49609,26.8386,1.40991,-0.433838,44.2851,2.56836,22.4759,91.7813
279841,1271641926,50.3545,-1.12964,-0.867554,34.0922,1.95996,0.178528,44.4553,1.57251,0.356156,94.4373
279844,212506328,48.2189,-1.98145,0.125214,36.8847,2.50586,-1.25195,24.0596,0.192963,35.4584,91.0611
279844,214895482,30.5208,1.9104,1.75977,29.0168,-1.01733,-0.153839,34.7379,1.51343,0.212712,88.6781
279844,278051171,42.1546,-0.434692,-1.51318,27.9992,2.28369,-0.119019,69.2303,2.42725,5.93699,84.874
279887,75560400,51.7764,1.43433,-0.98877,38.544,-1.54565,-1.28662,66.3683,2.21338,17.5771,90.0501
279887,407905177,91.7474,-1.36084,-0.322693,61.9242,1.19775,-1.55054,275.763,-0.835938,0.256234,174.773
279887,505993742,43.0015,0.731689,-2.24902,38.9625,-2.42529,-1.14478,39.3446,0.604858,1.74468,94.6604
279887,523895569,69.2474,-0.11264,0.799438,39.8498,-1.95557,1.46411,22.7565,-0.765625,0.123212,90.9234
279931,65941541,62.4348,-1.93945,1.86963,37.7977,-1.90552,1.87769,48.1941,0.79834,65.8507,1.69429
279931,101244489,86.4415,0.856079,-0.469177,57.3054,-2.69629,0.205627,64.6322,0.321777,25.8928,146.057
279975,543629844,28.7021,2.89697,0.856201,27.0324,-0.353638,-1.28784,33.0823,-0.544678,0.218232,90.856
279975,1736902820,154.408,1.57495,0.145874,148.029,-2.39014,0.790283,50.7767,-1.06323,70.4749,294.292
279975,545447093,49.1067,2.21191,-0.257812,42.4731,-0.956055,-0.137909,24.3472,1.46045,4.45934,91.4955
279975,550925237,57.7896,1.50244,-1.08496,34.5684,-2.38037,-0.863281,43.1666,1.42285,3.79091,83.9116
279975,561970086,51.3352,0.863525,0.460815,40.7391,-2.05615,0.185547,39.9226,-0.943359,0.243387,91.7732
279975,572406616,87.8406,1.13159,-0.161224,29.1227,-0.92688,0.0347366,35.9102,2.17529,33.4269,87.248
279975,1136501285,30.1644,-2.52344,0.894043,24.8859,0.80896,-1.32007,33.9073,-1.08203,13.1308,91.7997
279975,1142061801,44.3924,1.05151,0.824829,43.2617,-2.11719,0.259094,77.966,-0.598511,9.65155,91.169
279993,133431968,85.6073,-2.03955,1.10864,24.9231,0.758423,0.637695,62.4524,2.48877,29.9209,93.632
280017,392233243,48.5109,1.49268,0.350281,34.8686,-2.27637,1.22485,29.475,-2.47656,0.151577,86.6029
280017,391970352,82.9254,-0.717529,1.02783,42.1084,1.62646,0.885132,34.8405,2.55859,28.1003,109.236
280017,595905975,59.0756,1.30518,1.62866,31.9862,-1.93506,0.671387,22.1677,-1.44214,6.27309,96.9947
280017,606310784,40.4549,0.61438,-1.06812,38.9576,-2.19482,-0.0854034,29.5284,2.38672,19.6874,88.2048
280017,447371085,113.949,-2.11719,-0.852051,81.2586,-3.09961,-0.956543,46.4467,0.61377,88.0081,91.3335
280017,471338590,35.5974,-0.962524,1.02808,33.8225,2.22314,-0.37262,39.2778,2.10303,2.44493,87.1102
280017,550770490,91.322,-2.46094,1.25806,31.9289,-0.727417,0.518066,36.7354,2.81982,36.3413,91.9088
280017,628235224,26.331,-1.00171,0.628784,20.5597,1.23999,-2.07568,23.5034,-0.164948,0.153946,93.8119
280017,772552363,34.2452,-1.26074,2.3667,27.9839,1.91797,0.620972,23.7138,-2.45361,0.488621,87.0273
280018,805963217,87.769,-2.25879,-2.12939,29.3821,-0.174774,-1.72168,20.7157,-2.62158,12.1271,90.1369
280024,363729775,36.8187,0.901733,-0.417908,33.2682,-2.16309,0.994019,21.3117,-0.333679,0.313406,88.1353
280024,432444359,173.129,1.93164,0.912109,78.067,1.93921,0.898804,89.9693,1.78516,10.5338,1.77961
278820,766867677,232.219,-0.411987,0.26416,50.936,0.555176,-0.294861,33.475,2.12646,54.3738,118.414
278820,780598921,34.7999,-0.542358,1.56519,24.7233,-2.17627,-1.4668,58.1967,1.823,48.0252,134.136
278820,886732618,39.7135,1.48291,0.720215,27.7818,-1.93506,2.4165,38.8608,-1.62158,8.09599,91.3362
278820,893096217,74.9733,2.37012,-1.79346,30.187,-0.200073,-1.81714,35.7099,2.84424,16.3702,91.2967
278820,892664151,162.817,0.144073,0.795166,80.1962,-3.08154,0.272156,31.1312,2.61475,0.207404,236.201
278820,1543494062,60.35,0.124359,-0.932495,30.8453,-2.75049,-0.209137,34.9905,0.85376,15.1018,91.2778
278820,1519636798,37.5861,1.04858,-1.05518,29.3841,-0.505737,0.928345,23.0874,-1.70654,24.2805,90.238
278820,1941587068,76.5799,-2.79932,2.23828,23.3686,0.0977936,1.46826,32.8939,2.57812,15.092,90.3681
278820,1948406544,64.0724,1.69287,-0.0199013,41.3181,-2.74365,-0.0654602,27.1142,2.73291,0.133121,82.1119
278822,719219132,249.015,-0.825806,1.1123,112.299,-1.03125,0.626099,35.7291,0.0933533,52.2699,88.9832
278969,2491444378,38.9053,1.04224,-1.05981,36.873,-1.80786,0.176971,29.1948,-1.25952,0.184269,90.0328
278969,2493545099,61.9261,-1.8562,-1.21704,53.9941,-3.09326,-0.998291,251.199,-2.97168,0.245969,68.2447
278975,699852708,41.051,2.76074,1.30005,38.2145,-0.361572,0.196381,24.0568,-2.73926,3.61728,91.5821
278975,1402954580,54.0005,0.395508,-1.3501,38.5245,-2.71631,-1.11426,20.1413,2.56885,4.76834,91.8465
