#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 284014:5450 | 10/26/16 03:59:16 | 266  | 266  | 0.049329943    | 0.048024951   |
| 284025:5451 | 10/26/16 08:56:20 | 54   | 52   | 0.014777693    | 0.012562234   |
| 284029:5451 | 10/26/16 09:19:00 | 112  | 112  | 0.032660553    | 0.030777603   |
| 284035:5451 | 10/26/16 10:04:52 | 369  | 361  | 0.094488523    | 0.089318144   |
| 284036:5451 | 10/26/16 12:28:09 | 356  | 349  | 0.077714812    | 0.072542485   |
| 284037:5451 | 10/26/16 14:48:03 | 343  | 341  | 0.065176983    | 0.062659367   |
| 284038:5451 | 10/26/16 17:02:16 | 60   | 55   | 0.010577462    | 0.009103140   |
| 284039:5451 | 10/26/16 17:27:02 | 34   | 30   | 0.005883370    | 0.004793711   |
| 284040:5451 | 10/26/16 17:42:19 | 35   | 35   | 0.005983103    | 0.005437644   |
| 284041:5451 | 10/26/16 17:59:11 | 47   | 45   | 0.007680878    | 0.006783119   |
| 284042:5451 | 10/26/16 18:23:53 | 137  | 129  | 0.021719671    | 0.019588662   |
| 284043:5451 | 10/26/16 19:17:23 | 227  | 225  | 0.033198070    | 0.031443733   |
| 284044:5451 | 10/26/16 20:46:05 | 30   | 30   | 0.004327047    | 0.004242406   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 64    | 156  | 90807 | 90526 | 17.062540323      | 16.290713420     |
+-------+------+-------+-------+-------------------+------------------+

